Model Family,Method,Params (%FFT),Memory Reduction (%),Inference Speedup
bert,lora,100.000,,1.0×
bert,mrlora,187.107,-0.7,1.9×
bert,adalora,149.854,-0.3,1.9×
bert,dora,106.220,0.2,1.1×
bert,olora,100.000,0.1,1.7×
bert,rslora,100.000,0.2,2.7×
bert,mrlora-rs,187.139,-0.8,1.2×
bert,lora_student,254.073,35.6,2.3×
bert,mrlora_student,302.150,34.9,3.6×
roberta,lora,100.000,,1.0×
roberta,mrlora,129.104,-0.7,0.7×
roberta,adalora,116.657,-0.7,0.7×
roberta,dora,102.078,-0.2,0.7×
roberta,olora,100.000,-0.2,1.0×
roberta,rslora,100.000,-0.2,1.0×
roberta,mrlora-rs,129.116,-1.0,0.5×
roberta,lora_student,84.893,32.5,1.0×
roberta,mrlora_student,100.957,32.1,0.6×
deberta,lora,100.000,,1.0×
deberta,mrlora,187.108,-0.5,0.6×
deberta,adalora,149.855,-0.2,0.8×
deberta,dora,106.220,0.0,0.7×
deberta,olora,100.000,0.1,0.9×
deberta,rslora,100.000,0.1,0.9×
deberta,mrlora-rs,187.142,-0.6,2.1×
deberta,lora_student,52.633,22.7,0.9×
deberta,mrlora_student,98.793,22.4,1.5×
