Task,BERT‑b/DBERT‑b FFT,BERT‑b/DBERT‑b LoRA,BERT‑b/DBERT‑b KD‑LoRA,RoB‑b/DRoB‑b FFT,RoB‑b/DRoB‑b LoRA,RoB‑b/DRoB‑b KD‑LoRA,DeB‑b/DeB‑s FFT,DeB‑b/DeB‑s LoRA,DeB‑b/DeB‑s KD‑LoRA
CoLA,56.2,51.5,39.7,59.3,50.6,40.6,65.8,62.3,45.4
SST‑2,92.0,90.8,88.9,93.3,93.5,91.0,95.7,95.0,93.6
MRPC,87.9,81.2,77.1,90.5,80.4,76.9,90.7,80.6,74.8
QQP,89.5,86.2,83.3,89.2,87.0,83.9,90.9,88.8,85.5
STS‑B,88.2,86.9,82.1,90.2,87.0,82.8,90.4,81.9,84.9
QNLI,90.7,90.2,86.1,92.5,91.9,87.4,93.7,93.8,90.3
RTE,62.1,59.1,57.7,67.6,61.0,55.0,79.8,52.7,52.7
WNLI,48.4,56.3,50.4,51.2,55.9,52.5,55.4,56.3,53.2
MNLI_m,83.3,82.0,77.3,87.3,86.5,79.7,89.3,90.1,85.4
MNLI_mm,83.6,82.8,78.7,87.1,86.6,80.5,89.6,90.1,85.5
Score,78.2,76.7,72.1,80.8,78.0,73.0,84.1,79.2,75.1
