model_family,task,fft,kd-lora,lora
bert,cola,1.0,0.8571428571428571,0.7142857142857143
bert,mnli,1.0,0.8571428571428571,1.0
bert,mrpc,1.0,0.5714285714285714,0.8571428571428571
bert,qnli,1.0,0.5714285714285714,0.8571428571428571
bert,qqp,1.0,0.2857142857142857,0.8571428571428571
bert,rte,1.0,0.5714285714285714,0.8571428571428571
bert,sst2,1.0,0.8571428571428571,0.7142857142857143
bert,stsb,1.0,0.2857142857142857,0.8571428571428571
bert,wnli,1.0,0.5714285714285714,0.8571428571428571
deberta,cola,1.0,0.8571428571428571,0.6666666666666666
deberta,mnli,1.0,0.8571428571428571,0.7619047619047619
deberta,mrpc,1.0,0.5714285714285714,0.8571428571428571
deberta,qnli,1.0,0.5714285714285714,0.8571428571428571
deberta,qqp,1.0,0.2857142857142857,0.8571428571428571
deberta,rte,1.0,0.5714285714285714,0.8571428571428571
deberta,sst2,1.0,0.8571428571428571,0.6666666666666666
deberta,stsb,1.0,0.2857142857142857,0.8571428571428571
deberta,wnli,1.0,0.5714285714285714,0.8571428571428571
roberta,cola,1.0,0.8571428571428571,0.6666666666666666
roberta,mnli,1.0,0.8571428571428571,0.9523809523809523
roberta,mrpc,1.0,0.5714285714285714,0.8571428571428571
roberta,qnli,1.0,0.5714285714285714,0.8571428571428571
roberta,qqp,1.0,0.2857142857142857,0.8571428571428571
roberta,rte,1.0,0.5714285714285714,0.8571428571428571
roberta,sst2,1.0,0.8571428571428571,0.6666666666666666
roberta,stsb,1.0,0.2857142857142857,0.8571428571428571
roberta,wnli,1.0,0.5714285714285714,0.8571428571428571
