Task,BERT‑b/DBERT‑b FFT,BERT‑b/DBERT‑b Teacher MR‑LoRA,BERT‑b/DBERT‑b Student MR‑LoRA,RoB‑b/DRoB‑b FFT,RoB‑b/DRoB‑b Teacher MR‑LoRA,RoB‑b/DRoB‑b Student MR‑LoRA,DeB‑b/DeB‑s FFT,DeB‑b/DeB‑s Teacher MR‑LoRA,DeB‑b/DeB‑s Student MR‑LoRA
CoLA,56.2,50.0,43.0,59.3,54.2,45.6,65.8,63.0,55.4
SST‑2,92.0,91.7,90.9,93.3,94.0,91.7,95.7,95.8,93.8
MRPC,87.9,83.3,76.9,90.5,84.4,77.2,90.7,81.8,74.8
QQP,89.5,86.7,85.3,89.2,87.4,85.7,90.9,89.3,88.0
STS‑B,88.2,87.4,83.3,90.2,87.2,84.6,90.4,84.5,86.3
QNLI,90.7,90.2,86.7,92.5,92.2,88.4,93.7,93.9,91.4
RTE,62.1,59.6,56.9,67.6,63.2,57.0,79.8,61.3,52.7
WNLI,48.4,56.8,52.8,51.2,56.3,45.4,55.4,56.3,53.2
MNLI_m,83.3,82.9,79.6,87.3,86.6,82.0,89.3,90.3,87.1
MNLI_mm,83.6,83.2,80.2,87.1,87.0,82.4,89.6,90.2,86.6
Score,78.2,77.2,73.6,80.8,79.2,74.0,84.1,80.6,76.9
