,FFT,adalora,dora,lora,mrlora,olora,rslora
cola,0.5619475765596488,0.009074171210465568,0.5004072450360892,0.5154668571835651,0.49851876406052664,0.47932131187297744,0.5261386781268255
sst2,0.9197247706422019,0.9059633027522935,0.9134174311926606,0.908256880733945,0.9174311926605505,0.9071100917431193,0.9157110091743119
mrpc,0.8570261437908497,0.6838235294117648,0.7834967320261438,0.7736928104575164,0.8014705882352942,0.7867647058823529,0.8210784313725489
qqp,0.9100420479841702,0.8629812845246928,0.8831972957374887,0.8822656443235221,0.8861241652238436,0.8832055404402671,0.88823893148652
stsb,0.8821406655140976,0.543910241701613,0.8743720216611269,0.8693868941043755,0.8731845369125399,0.8733057491473744,0.8793167699169222
qnli,0.9067057172493747,0.8740618707669778,0.8997498322045274,0.9018243944108854,0.9026176093721399,0.9025565928366587,0.9051192873268655
rte,0.6209386281588448,0.555956678700361,0.5956678700361011,0.5908543922984356,0.5776173285198556,0.5800240673886884,0.6028880866425993
wnli,0.48356807511737093,0.4788732394366197,0.5633802816901409,0.5633802816901409,0.5704225352112676,0.5633802816901409,0.5727699530516431
mnli_m,0.8328069281711666,0.7999999999999999,0.8230939038886058,0.8200713194090677,0.829071149600951,0.8206826286296485,0.8241127525895737
mnli_mm,0.8360455655004069,0.8131950094928125,0.8288920531597505,0.8282478980200705,0.8323162462706808,0.8271291022511527,0.8307228098725251
Average,0.7810946118688131,0.65278393279976,0.7665674666632635,0.7653447372631523,0.768877411606765,0.762348007188238,0.7766096709560336
